compound_id,score,predicted,InChIKey,Name and abbreviation,CAS no.
JCP2022_104289,0.1271,MC-like,XKVUYEYANWFIJX-UHFFFAOYSA-N,3-methylpyrazole,1453-58-3
JCP2022_025492,0.0945,MC-like,GHMLBKRAJCXXBS-UHFFFAOYSA-N,Resorcinol,108-46-3
JCP2022_055978,0.0798,MC-like,MRBKEAMVRSLQPH-UHFFFAOYSA-N,2-tert-butyl-4-methoxyphenol (BHA),"25013-16-5, 121-00-6"
JCP2022_099101,0.0491,MC-like,WJCNZQLZVWNLKY-UHFFFAOYSA-N,Thiabendazole,148-79-8
JCP2022_059885,0.0414,MC-like,NLZUEZXRPGMBCV-UHFFFAOYSA-N,"2,6-di-tert-butyl-p-cresol; butylated hydroxytoluene (BHT)",128-37-0
JCP2022_072896,0.0088,MC-like,QELSKZZBTMNZEB-UHFFFAOYSA-N,Propyl 4-hydroxybenzoate; Propylparaben,94-13-3
JCP2022_052273,-0.0016,NOMC-like,LXCFILQKKLGQFO-UHFFFAOYSA-N,Methyl 4-hydroxybenzoate (Methylparaben),99-76-3
JCP2022_018778,-0.008,NOMC-like,DXGLGDHPHMLXJC-UHFFFAOYSA-N,Oxybenzone (BP-3),131-57-7
JCP2022_104707,-0.0107,NOMC-like,XNEFYCZVKIDDMS-UHFFFAOYSA-N,"1-[4-(1,1-dimethylethyl)phenyl]-3-(4-methoxyphenyl)propane-1,3-dione",70356-09-1
JCP2022_066536,-0.0407,NOMC-like,OWEGWHBOCFMBLP-UHFFFAOYSA-N,Climbazole,38083-17-9
JCP2022_073247,-0.0647,NOMC-like,QGHREAKMXXNCOA-UHFFFAOYSA-N,Thiophanate-methyl,23564-05-8
JCP2022_003539,-0.1441,NOMC-like,ASLWPAWFJZFCKF-UHFFFAOYSA-N,Tris[2-chloro-1-(chloromethyl)ethyl] phosphate (TDCP),13674-87-8
JCP2022_103094,-0.2059,NOMC-like,XEFQLINVKFYRCS-UHFFFAOYSA-N,Triclosan,3380-34-5
