strategy,metric,AUC-ROC,AUC-PR,MCC,Bal.Acc,Sensitivity,Specificity
cluster_centroids,cosine,0.63,0.696,0.155,0.575,0.714,0.435
cluster_centroids,pearson,0.607,0.676,0.236,0.61,0.786,0.435
cluster_centroids,euclidean,0.554,0.655,0.117,0.557,0.679,0.435
cluster_centroids,mahalanobis,0.408,0.595,0.0,0.5,1.0,0.0
cluster_centroids,spearman,0.443,0.561,-0.128,0.438,0.571,0.304
hybrid,euclidean,0.528,0.665,-0.116,0.448,0.679,0.217
hybrid,pearson,0.585,0.639,0.097,0.533,0.893,0.174
hybrid,cosine,0.545,0.629,0.148,0.559,0.857,0.261
hybrid,spearman,0.439,0.587,-0.204,0.408,0.643,0.174
hybrid,mahalanobis,0.331,0.499,-0.294,0.352,0.357,0.348
individual,euclidean,0.455,0.566,-0.082,0.46,0.571,0.348
individual,cosine,0.39,0.532,-0.139,0.434,0.607,0.261
individual,pearson,0.379,0.528,-0.092,0.456,0.607,0.304
individual,spearman,0.287,0.452,-0.454,0.28,0.429,0.13
individual,mahalanobis,0.2,0.4,-0.299,0.411,0.821,0.0
